wavelength,intensity
380,50.614
385,52.608
390,54.602
395,68.649
400,82.696
405,87.06
410,91.424
415,92.398
420,93.373
425,90.002
430,86.632
435,95.723
440,104.814
445,110.886
450,116.958
455,117.362
460,117.767
465,116.294
470,114.822
475,115.355
480,115.889
485,112.336
490,108.783
495,109.057
500,109.332
505,108.557
510,107.783
515,106.28
520,104.777
525,106.229
530,107.681
535,106.04
540,104.4
545,104.221
550,104.043
555,102.022
560,100.0
565,98.168
570,96.336
575,96.065
580,95.793
585,92.242
590,88.692
595,89.354
600,90.016
605,89.814
610,89.612
615,88.662
620,87.713
625,85.509
630,83.305
635,83.512
640,83.718
645,81.882
650,80.046
655,80.141
660,80.237
665,81.27
670,82.303
675,80.306
680,78.309
685,74.026
690,69.743
695,70.688
700,71.633
705,73.003
710,74.372
715,67.998
720,61.623
725,65.765
730,69.906
735,72.508
740,75.109
745,69.36
750,63.611
755,55.022
760,46.432
765,56.629
770,66.825
775,65.113
780,63.401
