filename,L*,a*,b*
no_01.txt,0.5599619216873997,0.0017035891423933247,-0.0650457365928725
no_02.txt,0.7112911034386435,-0.009341149483796385,-0.09202936387278093
no_03.txt,0.9427646650918362,-0.05120908527608825,0.03233529129557655
no_04.txt,1.7921887249186916,-0.15154374044783203,0.2826037040482787
no_05.txt,0.8075603342556548,-0.018718977467746534,-0.0647592601083824
no_06.txt,0.9693514776107257,-0.027196230862364112,-0.0519204225848946
no_07.txt,1.2747970990462818,-0.07031156429312957,0.07559633809697264
no_08.txt,2.023394733518032,-0.15964764063544634,0.3505848640799891
no_09.txt,0.9718467356925657,-0.028418689301840105,-0.044901225341187345
no_10.txt,1.185725844099295,-0.06702991633077138,0.07444803058663796
no_11.txt,1.2992157115959735,-0.08189935963409667,0.10991408494308019
no_12.txt,2.1760014245156007,-0.1889010819356718,0.643459650273509
no_13.txt,1.0068962469552751,-0.029080754540014575,-0.03399969121123392
no_14.txt,1.1809213182849412,-0.059840756554213614,0.048568949727761934
no_15.txt,1.2108533257321916,-0.06286532936146394,0.03449824342529051
no_16.txt,3.003293952973017,-0.18441497352300606,1.1264915332082348
Unprocessed_cotton.txt,0.14751491440120645,0.009737007699878175,-0.02514826923269431
