feature,mean_abs_shap
Conductivity,0.5741628706383206
pH,0.31415591611396465
qcm_graph_10_max_30s,0.1107529203210067
Brix_1,0.013004160056440261
qcm_graph_07_baseline_30s,0.011002072225229224
orp_bin_06,0.0004512673040826707
qcm_graph_13_baseline_30s,9.381556423551615e-08
Brix_n2,7.537510799171159e-08
orp_bin_07,1.8957642070895935e-08
cmos_m4_baseline_30s,1.3440662150475744e-16
cmos_m2_slope_30s,1.1891961989776667e-16
orp_bin_00,8.827844465942234e-17
cmos_m3_slope_30s,4.6021043388880306e-17
orp_bin_02,2.588541378638569e-17
cmos_m3_delta_30s,1.4755228409027324e-17
cmos_m1_slope_30s,3.749252466610431e-24
cmos_m3_auc_30s,2.0521696806098705e-25
orp_bin_12,5.812924669071795e-28
qcm_graph_04_max_30s,0.0
qcm_graph_14_max_30s,0.0
qcm_graph_11_baseline_30s,0.0
qcm_graph_03_auc_30s,0.0
qcm_graph_13_slope_30s,0.0
qcm_graph_10_auc_30s,0.0
qcm_graph_09_slope_30s,0.0
qcm_graph_15_max_30s,0.0
qcm_graph_21_auc_30s,0.0
qcm_graph_13_delta_30s,0.0
qcm_graph_20_baseline_30s,0.0
qcm_graph_03_delta_30s,0.0
qcm_graph_15_baseline_30s,0.0
qcm_graph_11_delta_30s,0.0
qcm_graph_05_max_30s,0.0
qcm_graph_14_auc_30s,0.0
qcm_graph_05_baseline_30s,0.0
qcm_graph_08_baseline_30s,0.0
qcm_graph_07_delta_30s,0.0
qcm_graph_14_delta_30s,0.0
qcm_graph_16_delta_30s,0.0
qcm_graph_04_auc_30s,0.0
group_id,0.0
qcm_graph_16_auc_30s,0.0
qcm_graph_10_slope_30s,0.0
qcm_graph_09_delta_30s,0.0
qcm_graph_08_slope_30s,0.0
qcm_graph_12_slope_30s,0.0
qcm_graph_15_delta_30s,0.0
qcm_graph_12_delta_30s,0.0
qcm_graph_10_delta_30s,0.0
qcm_graph_16_max_30s,0.0
qcm_graph_07_max_30s,0.0
qcm_graph_08_auc_30s,0.0
qcm_graph_04_slope_30s,0.0
qcm_graph_13_max_30s,0.0
qcm_graph_09_auc_30s,0.0
qcm_graph_13_auc_30s,0.0
qcm_graph_20_delta_30s,0.0
qcm_graph_09_baseline_30s,0.0
qcm_graph_20_max_30s,0.0
qcm_graph_01_max_30s,0.0
qcm_graph_16_slope_30s,0.0
qcm_graph_05_delta_30s,0.0
qcm_graph_01_baseline_30s,0.0
qcm_graph_06_baseline_30s,0.0
qcm_graph_15_slope_30s,0.0
qcm_graph_11_slope_30s,0.0
qcm_graph_06_max_30s,0.0
qcm_graph_21_slope_30s,0.0
qcm_graph_09_max_30s,0.0
qcm_graph_14_slope_30s,0.0
qcm_graph_12_max_30s,0.0
qcm_graph_12_auc_30s,0.0
qcm_graph_21_delta_30s,0.0
qcm_graph_08_max_30s,0.0
qcm_graph_16_baseline_30s,0.0
qcm_graph_20_auc_30s,0.0
qcm_graph_21_max_30s,0.0
qcm_graph_01_slope_30s,0.0
qcm_graph_20_slope_30s,0.0
qcm_graph_06_auc_30s,0.0
qcm_graph_01_delta_30s,0.0
orp_max,0.0
cmos_m4_delta_30s,0.0
cmos_m5_baseline_30s,0.0
cmos_m2_max_30s,0.0
cmos_m3_baseline_30s,0.0
cmos_m2_delta_30s,0.0
cmos_m5_auc_30s,0.0
cmos_m2_baseline_30s,0.0
cmos_m4_max_30s,0.0
cmos_m1_baseline_30s,0.0
cmos_m1_auc_30s,0.0
cmos_m4_slope_30s,0.0
cmos_m5_slope_30s,0.0
orp_class_at_max,0.0
orp_std,0.0
qcm_graph_22_auc_30s,0.0
orp_mean,0.0
orp_sum,0.0
orp_bin_15,0.0
orp_bin_14,0.0
orp_bin_13,0.0
orp_bin_11,0.0
orp_bin_10,0.0
orp_bin_09,0.0
orp_bin_08,0.0
orp_bin_05,0.0
orp_bin_04,0.0
orp_bin_03,0.0
orp_bin_01,0.0
cmos_m3_max_30s,0.0
cmos_m4_auc_30s,0.0
cmos_m1_delta_30s,0.0
cmos_m5_max_30s,0.0
qcm_graph_03_max_30s,0.0
qcm_graph_11_max_30s,0.0
qcm_graph_07_auc_30s,0.0
qcm_graph_14_baseline_30s,0.0
qcm_graph_06_slope_30s,0.0
qcm_graph_03_baseline_30s,0.0
qcm_graph_12_baseline_30s,0.0
qcm_graph_05_auc_30s,0.0
qcm_graph_22_baseline_30s,0.0
qcm_graph_04_baseline_30s,0.0
qcm_graph_03_slope_30s,0.0
qcm_graph_21_baseline_30s,0.0
qcm_graph_05_slope_30s,0.0
qcm_graph_10_baseline_30s,0.0
qcm_graph_06_delta_30s,0.0
qcm_graph_08_delta_30s,0.0
qcm_graph_11_auc_30s,0.0
qcm_graph_22_slope_30s,0.0
qcm_graph_22_max_30s,0.0
qcm_graph_15_auc_30s,0.0
qcm_graph_01_auc_30s,0.0
qcm_graph_07_slope_30s,0.0
qcm_graph_22_delta_30s,0.0
qcm_graph_04_delta_30s,0.0
cmos_m2_auc_30s,0.0
cmos_m1_max_30s,0.0
cmos_m5_delta_30s,0.0
is_time0,0.0
