feature,importance
Conductivity,716.2587261011442
pH,233.23821852907736
qcm_graph_20_baseline_30s,49.987732729335754
qcm_graph_07_auc_30s,5.956343049735634
orp_bin_06,0.8937427745423269
orp_bin_07,1.6780700127801886e-11
qcm_graph_06_auc_30s,1.8410108052373422e-14
cmos_m2_slope_30s,1.4082235634893411e-14
orp_bin_00,8.319218581384714e-15
cmos_m1_slope_30s,5.47622667035195e-15
cmos_m3_baseline_30s,5.46229317678692e-15
Brix_1,4.987750395019108e-16
cmos_m3_slope_30s,2.220450549113224e-16
qcm_graph_06_slope_30s,2.382277955342185e-22
orp_bin_01,4.0392172426290155e-28
cmos_m3_delta_30s,2.808271297195392e-30
qcm_graph_20_delta_30s,2.1044020778369285e-30
qcm_graph_14_slope_30s,5.6097200018698385e-31
qcm_graph_21_slope_30s,3.506090106314105e-31
orp_bin_02,1.972212095721152e-31
cmos_m2_auc_30s,1.4024247107403586e-31
cmos_m1_auc_30s,6.184044795753583e-32
orp_class_at_max,3.081490115071485e-33
cmos_m1_delta_30s,6.0185300000128914e-36
cmos_m3_max_30s,3.0092698428939384e-36
qcm_graph_15_slope_30s,5.642369857142297e-37
qcm_graph_15_delta_30s,0.0
qcm_graph_07_delta_30s,0.0
qcm_graph_14_delta_30s,0.0
qcm_graph_22_delta_30s,0.0
qcm_graph_05_auc_30s,0.0
qcm_graph_03_max_30s,0.0
qcm_graph_09_baseline_30s,0.0
qcm_graph_06_baseline_30s,0.0
qcm_graph_04_max_30s,0.0
qcm_graph_20_slope_30s,0.0
qcm_graph_04_slope_30s,0.0
qcm_graph_15_auc_30s,0.0
qcm_graph_08_max_30s,0.0
qcm_graph_14_baseline_30s,0.0
qcm_graph_09_max_30s,0.0
qcm_graph_10_slope_30s,0.0
qcm_graph_09_slope_30s,0.0
qcm_graph_04_auc_30s,0.0
qcm_graph_03_auc_30s,0.0
qcm_graph_22_baseline_30s,0.0
qcm_graph_11_slope_30s,0.0
qcm_graph_16_baseline_30s,0.0
qcm_graph_12_baseline_30s,0.0
qcm_graph_06_delta_30s,0.0
qcm_graph_08_baseline_30s,0.0
qcm_graph_21_auc_30s,0.0
qcm_graph_21_delta_30s,0.0
group_id,0.0
qcm_graph_11_auc_30s,0.0
qcm_graph_21_baseline_30s,0.0
qcm_graph_12_max_30s,0.0
qcm_graph_11_max_30s,0.0
qcm_graph_08_slope_30s,0.0
qcm_graph_16_slope_30s,0.0
qcm_graph_15_baseline_30s,0.0
qcm_graph_09_auc_30s,0.0
qcm_graph_20_auc_30s,0.0
qcm_graph_15_max_30s,0.0
qcm_graph_22_auc_30s,0.0
qcm_graph_06_max_30s,0.0
qcm_graph_08_delta_30s,0.0
qcm_graph_13_delta_30s,0.0
qcm_graph_16_max_30s,0.0
qcm_graph_07_slope_30s,0.0
qcm_graph_14_max_30s,0.0
qcm_graph_04_delta_30s,0.0
qcm_graph_22_slope_30s,0.0
qcm_graph_05_max_30s,0.0
qcm_graph_08_auc_30s,0.0
qcm_graph_03_slope_30s,0.0
qcm_graph_03_delta_30s,0.0
qcm_graph_10_delta_30s,0.0
qcm_graph_12_slope_30s,0.0
qcm_graph_07_max_30s,0.0
qcm_graph_07_baseline_30s,0.0
qcm_graph_21_max_30s,0.0
qcm_graph_11_delta_30s,0.0
qcm_graph_14_auc_30s,0.0
qcm_graph_05_slope_30s,0.0
orp_std,0.0
cmos_m1_max_30s,0.0
cmos_m4_delta_30s,0.0
cmos_m4_slope_30s,0.0
cmos_m2_delta_30s,0.0
cmos_m4_max_30s,0.0
cmos_m2_baseline_30s,0.0
cmos_m5_slope_30s,0.0
cmos_m4_baseline_30s,0.0
cmos_m5_max_30s,0.0
cmos_m5_baseline_30s,0.0
cmos_m2_max_30s,0.0
orp_max,0.0
orp_mean,0.0
qcm_graph_09_delta_30s,0.0
orp_sum,0.0
orp_bin_15,0.0
orp_bin_14,0.0
orp_bin_13,0.0
orp_bin_12,0.0
orp_bin_11,0.0
orp_bin_10,0.0
orp_bin_09,0.0
orp_bin_08,0.0
orp_bin_05,0.0
orp_bin_04,0.0
orp_bin_03,0.0
cmos_m3_auc_30s,0.0
cmos_m1_baseline_30s,0.0
cmos_m5_delta_30s,0.0
cmos_m4_auc_30s,0.0
qcm_graph_13_auc_30s,0.0
qcm_graph_20_max_30s,0.0
qcm_graph_03_baseline_30s,0.0
qcm_graph_12_auc_30s,0.0
qcm_graph_10_auc_30s,0.0
qcm_graph_13_baseline_30s,0.0
qcm_graph_16_auc_30s,0.0
qcm_graph_11_baseline_30s,0.0
qcm_graph_01_baseline_30s,0.0
qcm_graph_01_slope_30s,0.0
Brix_n2,0.0
qcm_graph_13_slope_30s,0.0
qcm_graph_01_delta_30s,0.0
qcm_graph_05_baseline_30s,0.0
qcm_graph_05_delta_30s,0.0
qcm_graph_13_max_30s,0.0
qcm_graph_16_delta_30s,0.0
qcm_graph_01_max_30s,0.0
qcm_graph_22_max_30s,0.0
qcm_graph_10_baseline_30s,0.0
qcm_graph_01_auc_30s,0.0
qcm_graph_12_delta_30s,0.0
qcm_graph_04_baseline_30s,0.0
qcm_graph_10_max_30s,0.0
cmos_m5_auc_30s,0.0
is_time0,0.0
